name,category_list,funding_total_usd,country_code,state_code,founded_at,funding_rounds,first_funding_at,last_funding_at,status_binary
3d systems,['Software'],169500000.0,USA,SC,1986-01-01,3,2014-01-15,2014-10-13,1
3dc,['Technology'],210179.5,BGR,42,2009-01-01,1,2009-01-01,2009-01-01,1
3dduo,"['Business Services', 'Video Games']",701760.0,FRA,B4,2005-03-01,1,2009-06-12,2009-06-12,0
3dphy.com,"['Creative', 'Digital Media']",204952.0,SGP,unknown,2013-11-21,1,2014-12-18,2014-12-18,0
nimble vr,['Software'],2249999.0,USA,CA,2012-01-01,2,2012-03-30,2014-04-02,1
3i systems,['Semiconductors'],13708150.0,CHN,5,2006-11-01,3,2007-08-20,2010-03-01,0
3leaf,['Web Hosting'],65000000.0,USA,CA,2004-06-01,3,2005-01-01,2008-09-22,1
3lm,"['Android', 'Enterprises', 'Mobile']",1500000.0,SGP,unknown,2010-07-01,1,2010-07-01,2010-07-01,1
3par,"['Cloud Data Services', 'Services', 'Software']",148000000.0,USA,CA,1999-01-01,3,2000-05-01,2004-02-10,1
3tier,['Clean Technology'],15000000.0,USA,WA,1999-01-01,3,2007-09-05,2010-02-25,1
3touch,['Software'],272000.0,IRL,29,2003-01-01,1,2007-05-01,2007-05-01,0
3v transaction services,"['Coupons', 'Online Shopping', 'Payments', 'Retail Technology']",50958896.6114209,IRL,7,2004-01-01,2,2006-10-31,2013-03-01,1
3ware,"['Databases', 'Electronics', 'Storage']",26000000.0,USA,CA,1998-10-31,1,2003-02-11,2003-02-11,1
41st parameter,['Security'],38064570.0,USA,CA,2004-01-01,4,2006-05-08,2012-04-11,1
42networks,['Web Hosting'],2258720.0,SWE,26,2001-11-02,1,2006-02-13,2006-02-13,1
42race,"['Online Travel', 'Sports', 'Travel']",500000.0,SGP,unknown,2015-05-01,1,2015-06-01,2015-06-01,0
4blox,['Software'],41358853.86867132,USA,CA,2006-08-01,1,2007-09-10,2007-09-10,0
4dk technologies,['Mobile'],3378975.0,USA,VA,2005-01-01,1,2011-12-12,2011-12-12,1
4home,"['Automotive', 'Clean Energy', 'Cloud Computing', 'Internet', 'Software', 'Wireless']",9416354.0,USA,CA,2006-01-01,6,2006-08-01,2010-02-03,1
4meee,['E-Commerce'],500000.0,JPN,40,2010-05-02,1,2014-08-13,2014-08-13,1
500friends,"['E-Commerce', 'Enterprise Software', 'Loyalty Programs', 'Social Media']",12900000.0,USA,CA,2010-01-01,6,2009-12-15,2013-03-12,1
51 auto,['Automotive'],4500000.0,SGP,unknown,2004-02-19,1,2008-06-01,2008-06-01,0
56.com,['Photography'],30000000.0,CHN,30,2005-04-01,2,2007-06-01,2007-12-01,1
58.com,"['Curated Web', 'Internet', 'Software']",876780000.0,CHN,19,2005-01-01,6,2006-02-01,2014-06-27,1
59sec,"['Advertising', 'Lead Management', 'Sales and Marketing']",27428.6215837652,SGP,unknown,2015-08-22,1,2015-08-01,2015-08-01,0
5barz international,"['Mobile', 'Technology', 'Wireless']",6100000.0,USA,WA,2008-01-01,2,2013-11-12,2014-11-17,1
5by,"['Apps', 'Photography', 'Photo Sharing']",41358853.86867132,USA,CA,2012-01-01,1,2013-02-28,2013-02-28,1
5min media,"['Education', 'Games', 'Video']",12800000.0,USA,NY,2007-01-01,3,2007-04-01,2009-07-23,1
5rocks,['Games'],3987693.0,KOR,11,2013-06-18,2,2010-09-01,2013-09-03,1
5th finger,['Mobile'],7000000.0,USA,CA,2008-01-01,1,2008-06-13,2008-06-13,1
5to1,"['Advertising', 'Internet', 'Internet Marketing']",17129760.0,USA,WA,2009-01-01,4,2009-06-17,2010-11-10,1
60mo,"['Accounting', 'Business Development', 'Finance', 'Software', 'Web Development']",1300000.0,GBR,U8,2009-06-01,3,2009-06-29,2011-01-19,1
640 labs,['Software'],3050000.0,USA,IL,2013-01-01,3,2014-06-20,2014-10-20,1
6d global technologies,['Services'],11052498.0,USA,NY,2010-08-21,2,2014-12-02,2015-08-20,1
6n silicon,"['Concentrated Solar Power', 'Manufacturing', 'Solar']",5714285.71428571,CAN,ON,2006-01-01,1,2007-07-14,2007-07-14,1
6th sense analytics,['Software'],6700000.0,USA,NC,2004-01-01,2,2005-11-11,2007-01-31,1
6wunderkinder / wunderlist,"['Android', 'Apps', 'Cloud Computing', 'Collaboration', 'Email', 'Finance', 'Home & Garden', 'Internet', 'iOS', 'iPad', 'iPhone', 'Mac', 'Productivity Software', 'Software', 'Synchronization', 'Task Management', 'Web Development']",23857750.0,DEU,unknown,2010-09-01,5,2010-12-21,2013-11-12,1
7 billion people,"['Analytics', 'E-Commerce', 'Software']",6528902.0,USA,TX,2006-01-01,3,2009-02-09,2012-07-13,0
77 pieces,['Curated Web'],650000.0,NZL,G2,2010-05-25,1,2011-03-01,2011-03-01,0
7digital,"['Content Creators', 'Content Delivery', 'Licensing', 'Music', 'Music Services', 'Technology']",20068328.451591,GBR,H9,2004-01-01,4,2005-09-01,2013-11-25,1
80/20 solutions,"['Advertising', 'Email', 'Loyalty Programs', 'Mobile', 'SaaS', 'Sales and Marketing', 'Social Media', 'Software']",2100000.0,CAN,ON,2005-04-26,1,2009-08-07,2009-08-07,0
8aweek,"['Curated Web', 'Task Management']",15515606.656651298,SGP,unknown,2008-01-01,1,2008-03-02,2008-03-02,0
8d world,"['Games', 'Virtual Worlds']",12250000.0,USA,MA,2003-11-19,2,2008-03-01,2010-12-09,0
8hands,"['Messaging', 'Public Relations', 'Social Media']",1500000.0,ISR,unknown,2003-09-20,2,2008-01-01,2008-01-01,0
8x8 inc,"['Contact Centers', 'Telecommunications', 'Unifed Communications', 'Video Conferencing']",126000000.0,USA,CA,1987-01-01,1,2013-11-20,2013-11-20,1
909c,"['Apps', 'Publishing', 'Social Media', 'Social Media Marketing']",1292301.0,SGP,unknown,2010-01-01,1,2013-07-05,2013-07-05,0
91 wireless,['Mobile'],30000000.0,CHN,3,2010-09-01,1,2011-12-01,2011-12-01,1
99 fahrenheit,['Finance'],1380700.0,ITA,9,2011-10-01,1,2011-10-15,2011-10-15,0
99bill,"['E-Commerce', 'Payments']",83574271.0,CHN,23,2005-01-01,5,2005-08-12,2012-12-14,1
99dresses,"['Fashion', 'File Sharing']",105651.0,AUS,2,2010-01-01,2,2012-03-30,2012-06-01,0
99times.cn,['E-Commerce'],171682000.60144928,CHN,23,2005-01-01,1,2010-08-23,2010-08-23,0
9car technology llc,"['Automotive', 'Cars', 'E-Commerce']",80000.0,CHN,22,2009-11-18,2,2009-11-18,2010-01-06,0
9cookies,"['Point of Sale', 'Restaurants']",26718000.17836007,DEU,16,2012-01-01,1,2013-04-18,2013-04-18,1
9facts,"['SEO', 'Social Media']",70000.0,RUS,71,2011-05-01,1,2011-05-01,2011-05-01,0
9slides,"['Enterprises', 'Enterprise Software', 'iPad', 'Presentations', 'SaaS', 'Training']",925000.0,USA,WA,2010-06-01,2,2013-05-30,2013-10-03,1
a bit lucky,"['Games', 'Social Games']",10312103.0,USA,CA,2009-10-01,2,2010-03-15,2011-03-25,0
a-life medical,['Biotechnology'],3000000.0,USA,CA,2005-02-20,1,2009-06-03,2009-06-03,1
a-power energy generation systems,['Clean Technology'],10200000.0,CHN,19,2003-01-01,1,2011-01-19,2011-01-19,0
a smarter city,"['Networking', 'Sensors', 'Software', 'Wireless']",15000.0,SGP,unknown,2011-03-05,1,2011-03-05,2011-03-05,0
a10 networks,"['Cloud Computing', 'Communications Hardware', 'Hardware', 'Networking', 'Optimization', 'Security', 'SEO', 'Technology', 'Virtualization', 'Web Hosting']",118000000.0,USA,CA,2004-10-01,4,2005-01-01,2013-10-03,1
a123 systems,"['Batteries', 'Clean Technology', 'Energy Storage', 'Mobile']",502860000.0,USA,MA,2001-01-01,8,2005-11-01,2012-06-07,1
a2b,"['Online Rental', 'Online Reservations', 'Transportation']",500000.0,RUS,66,2009-01-30,1,2013-05-13,2013-05-13,0
a4vision,['3D Technology'],41358853.86867132,USA,CA,2000-11-25,1,2005-03-08,2005-03-08,1
a8 digital music,['Music'],50000000.0,CHN,30,2000-01-01,2,2004-10-01,2005-12-08,1
aac technologies holdings,['Hardware + Software'],171682000.60144928,CHN,2,1993-01-01,1,2004-11-10,2004-11-10,1
aarden pharmaceuticals,['Biotechnology'],500000.0,USA,IN,2008-01-01,1,2011-01-03,2011-01-03,0
aardvark,['Search'],6000000.0,USA,CA,2007-07-01,2,2007-01-01,2008-10-01,1
aarohi communication,"['Application Platforms', 'Communications Infrastructure', 'Storage']",14000000.0,USA,CA,1997-04-20,3,2001-08-01,2003-08-29,1
aastrom biosciences,['Biotechnology'],40000000.0,USA,MI,1989-01-01,1,2012-03-09,2012-03-09,1
abacast,['Analytics'],500000.0,USA,WA,2000-04-02,1,2010-11-11,2010-11-11,1
tunepresto,"['Music', 'Video Editing', 'Web Development']",263400.0,IRL,10,2008-01-01,1,2007-01-01,2007-01-01,0
abattis bioceuticals,['Biotechnology'],400988.0,CAN,BC,1997-09-29,3,2010-11-03,2014-04-07,1
abaxia,['Software'],1770000.0,FRA,A8,2001-01-01,1,2005-11-08,2005-11-08,1
abazab,['Curated Web'],4400000.0,USA,CA,1997-01-01,2,2006-05-05,2009-05-04,0
abb,"['Automotive', 'Clean Technology', 'Energy', 'Technology']",2700000.0,CHE,25,1988-01-01,1,2013-09-23,2013-09-23,1
abbeypost,"['E-Commerce', 'Fashion', 'Women']",875000.0,USA,CA,2014-04-01,5,2013-07-30,2014-07-11,1
abbott labs,"['Biotechnology', 'Health and Wellness', 'Medical', 'Venture Capital']",6790000.0,USA,IL,1991-01-01,2,2009-03-16,2011-03-15,1
abc live,['Advertising'],25000.0,IND,5,2007-12-05,1,2007-01-05,2007-01-05,0
abcellute,['Biotechnology'],805908.0,GBR,H9,2001-01-01,1,2007-09-21,2007-09-21,0
abebooks,"['Curated Web', 'Textbooks']",21906545.70101279,CAN,BC,1996-01-01,1,2003-09-01,2003-09-01,1
abidoc,"['Doctors', 'Health Care', 'Health Diagnostics']",1833333.0,SGP,unknown,2008-07-06,2,2012-10-17,2014-02-04,0
ablation frontiers,"['Innovation Engineering', 'Medical', 'Medical Devices']",21800000.0,USA,CA,2003-04-05,1,2007-07-17,2007-07-17,1
ablynx,['Biotechnology'],186036236.0,BEL,8,2001-01-01,6,2002-09-25,2014-08-13,1
abound solar,"['Clean Technology', 'Solar']",510000000.0,USA,CO,2007-01-01,2,2010-07-06,2010-12-15,0
web reservations international,"['Curated Web', 'Web Development']",8575179.433517292,IRL,7,1999-12-19,1,2004-03-31,2004-03-31,1
absolutely training,['Education'],451198.382904996,SGP,unknown,2001-05-01,1,2005-08-12,2005-08-12,0
abtech holdings,"['Engineering Firms', 'Environmental Innovation', 'Technology']",1400000.0,USA,AZ,1995-01-01,1,2015-05-18,2015-05-18,1
fashionade.com (abundant closet),['E-Commerce'],60000.0,USA,GA,2008-01-01,1,2010-02-23,2010-02-23,0
abzena,['Biotechnology'],64640151.5803158,GBR,H9,2002-01-01,2,2014-07-07,2015-11-24,1
abzorba games,"['Apps', 'Games', 'Mobile', 'Social Media', 'Software']",396998.0,SGP,unknown,2012-04-27,1,2012-05-01,2012-05-01,1
a.c. moore,['E-Commerce'],10000000.0,USA,NJ,1984-01-01,1,2009-06-05,2009-06-05,1
acacia research,"['Business Services', 'Intellectual Asset Management', 'Licensing']",255100000.0,USA,CA,1993-01-01,3,1999-11-22,2012-02-21,1
academic earth,"['EdTech', 'Education', 'Video']",41358853.86867132,USA,CA,2008-01-01,1,2008-10-01,2008-10-01,1
academy events services,"['Events', 'Manufacturing', 'Services']",27000000.0,SGP,unknown,1998-06-30,1,2002-10-11,2002-10-11,0
academy123,['Education'],2000000.0,USA,CA,2004-01-01,1,2004-08-01,2004-08-01,1
acadia pharmaceuticals,"['Biotechnology', 'Health Care']",126385000.0,USA,CA,1998-12-18,3,2003-03-31,2013-01-02,1
accelecare wound centers,"['Health Care', 'Hospitals', 'Medical']",13500000.0,USA,WA,2003-03-22,2,2007-07-03,2007-12-11,1
accelera innovations,['Health and Wellness'],200000000.0,USA,IL,2009-07-13,1,2013-10-24,2013-10-24,1
accelerate diagnostics,"['Health Care', 'Health Diagnostics', 'Medical Devices']",63016244.0,USA,AZ,2004-01-01,4,2010-03-23,2014-05-05,1
accelerated orthopedic technologies,['Health Care'],150000.0,USA,CT,2008-02-05,1,2012-05-18,2012-05-18,0
accelerated technologies,"['Medical', 'Medical Devices', 'Technology']",32000000.0,USA,NY,1999-09-26,1,2004-01-07,2004-01-07,0
accelerize new media,['Enterprise Software'],4045500.0,USA,CA,2005-01-01,3,2010-05-10,2014-04-16,1
acceleron pharma,['Biotechnology'],113701127.0,USA,MA,2004-01-01,6,2006-08-02,2011-12-23,1
accelgolf,"['Apps', 'Finance', 'Mobile', 'Sports']",457282.0,USA,MA,2008-08-01,7,2008-01-01,2009-12-04,0
accelight networks,"['Consumer Electronics', 'Electronics', 'Manufacturing']",60000000.0,USA,PA,1999-01-01,1,2001-11-19,2001-11-19,0
accelone,['Software'],225000.0,USA,WA,2013-01-01,1,2014-04-29,2014-04-29,0
accent optical technologies,"['Semiconductors', 'Technology', 'Wireless']",15900000.0,SGP,unknown,1996-09-08,1,2000-12-20,2000-12-20,0
accentia biopharmaceuticals inc,"['Biotechnology', 'Health and Wellness']",775000.0,USA,FL,2002-01-01,2,2012-02-08,2013-06-25,1
accenx technologies,['Software'],4500000.0,USA,CA,1997-01-01,2,2007-09-13,2009-02-27,1
accept software,"['Career Management', 'Software']",25305000.0,USA,CA,2002-01-01,4,2005-09-16,2010-12-14,1
accertify,"['Credit Cards', 'Fraud Detection', 'Security']",7131124.0,USA,IL,2007-03-01,3,2008-06-03,2010-05-04,1
access closure,['Health Care'],13793098.0,USA,CA,2002-01-01,3,2010-03-03,2012-10-01,1
access northeast,"['Cloud Computing', 'Data Centers', 'Networking', 'Services', 'Software', 'Web Hosting']",1999998.0,USA,MA,1999-01-01,1,2009-11-23,2009-11-23,1
access pharmaceuticals,['Biotechnology'],15581502.0,USA,TX,2007-08-03,2,2011-11-14,2012-11-06,0
access scientific,['Health Care'],21376001.0,USA,CA,2004-01-01,6,2009-10-06,2012-06-21,1
inherited health,['Health and Wellness'],1155000.0,USA,CA,2007-11-01,2,2008-01-01,2009-08-01,1
acclaim games,['Games'],41358853.86867132,USA,CA,1997-12-24,1,2007-10-18,2007-10-18,1
acclarent,"['Biotechnology', 'Medical']",35000000.0,USA,CA,2004-06-01,1,2007-04-23,2007-04-23,1
acclaris holdings,"['Development Platforms', 'Health Care', 'Software']",5000000.0,USA,FL,2010-01-01,1,2004-07-21,2004-07-21,1
acco brands,['Hardware + Software'],10000000.0,USA,IL,1947-01-01,1,2007-02-01,2007-02-01,1
accord,['Real Estate'],41358853.86867132,USA,CA,2013-01-01,1,2014-05-12,2014-05-12,0
accordent technologies,['Consulting'],4000000.0,USA,CA,2001-12-16,1,2006-03-29,2006-03-29,1
accordion health,"['Big Data Analytics', 'Health Care Information Technology', 'SaaS']",150000.0,USA,TX,2014-05-14,1,2014-07-02,2014-07-02,0
accrue search concepts dba boounce,"['Search', 'Software', 'Vertical Search']",200000.0,SGP,unknown,2010-05-20,1,2010-05-20,2010-05-20,0
accumedia,['Software'],2000000.0,SGP,unknown,1997-11-16,1,2002-02-27,2002-02-27,0
accumetrics,['Biotechnology'],110640466.0,USA,CA,1996-01-01,9,2003-05-16,2013-08-30,1
accupost corporation,['Software'],41358853.86867132,USA,CO,1998-04-20,1,2002-08-01,2002-08-01,1
accuvant,['Security'],8198838.0,USA,CO,2002-01-01,4,2008-07-01,2014-10-17,1
acelrx pharmaceuticals,"['Biotechnology', 'Health Care']",93654902.0,USA,CA,2005-08-12,5,2009-11-23,2013-12-19,1
acendi interactive,['Security'],2090000.0,USA,CA,2004-09-28,1,2009-01-09,2009-01-09,0
aceris 3d inspection,['Semiconductors'],4880000.0,CAN,QC,2000-01-01,1,2007-05-30,2007-05-30,0
acerta pharma,['Biotechnology'],41358853.86867132,USA,CA,2008-12-01,1,2013-03-14,2013-03-14,0
aceva technologies,['Enterprise Software'],5280000.0,USA,CA,1999-01-01,1,2005-07-21,2005-07-21,1
achaogen,"['Biotechnology', 'Health Care']",116605707.0,USA,CA,2004-01-01,4,2004-08-01,2013-03-22,1
acheive cca,['Finance'],5000000.0,USA,IN,2004-11-06,1,2009-02-17,2009-02-17,0
achiever,"['Self Development', 'Social Network Media']",120000.0,SGP,unknown,2013-12-11,1,2013-12-20,2013-12-20,0
achievers,"['Employer Benefits Programs', 'Incentives', 'Services', 'Software']",52422326.0,USA,CA,1995-01-01,5,2007-11-29,2011-09-28,1
achillion pharmaceuticals,"['Biotechnology', 'Health Care']",91100000.0,USA,CT,1998-01-01,2,2002-01-28,2010-08-18,1
aciex therapeutics,['Biotechnology'],9599860.0,USA,MA,2003-05-21,3,2007-09-01,2014-04-24,1
blackwave,"['Social Media', 'Storage', 'Video Streaming', 'Web Hosting']",28000000.0,USA,MA,2006-01-01,3,2006-12-01,2009-09-30,1
acirro,['Software'],9500000.0,USA,CA,1997-02-18,1,2001-06-01,2001-06-01,1
acision,['Mobile'],100000000.0,IND,10,1992-01-01,1,2010-10-05,2010-10-05,1
aclaris therapeutics,['Biotechnology'],82000000.0,USA,PA,2008-07-13,3,2012-10-24,2015-09-09,1
acme packet,"['Telecommunications', 'Web Hosting']",38247779.0,USA,MA,1997-06-27,2,2001-10-08,2009-05-14,1
acompli,"['Android', 'Consumer Internet', 'Email', 'Enterprise Software', 'iOS', 'Mobile', 'Mobile Security', 'SaaS']",7300000.0,USA,CA,2013-06-01,1,2013-06-04,2013-06-04,1
acopia networks,['Software'],75000000.0,USA,MA,2002-01-01,3,2003-05-21,2006-06-19,1
acorda therapeutics,"['Biotechnology', 'Health Care']",76800000.0,USA,NY,1999-02-06,3,2003-05-20,2006-11-29,1
acorn international,['Advertising'],43000000.0,CHN,23,2001-09-20,2,2006-01-01,2007-04-01,1
acoustic technologies,['Software'],7974296.0,USA,TX,1998-01-01,1,2013-04-12,2013-04-12,1
acquaintable,['Curated Web'],40000.0,USA,NY,2012-01-01,1,2013-01-07,2013-01-07,1
acs global,['Biotechnology'],3162000.0,USA,NJ,2007-01-15,2,2011-04-28,2011-07-01,1
acta technology,"['Data Integration', 'Enterprises', 'Real Time']",25000000.0,USA,CA,1997-04-27,1,2001-08-08,2001-08-08,1
actacell,"['Batteries', 'Clean Technology', 'Search']",9800000.0,USA,TX,2004-04-10,3,2008-07-22,2010-12-29,1
actcat,['SaaS'],30231624.082057405,JPN,40,2012-05-10,3,2012-09-12,2014-10-31,0
acteavo,"['B2B', 'Leisure', 'Travel & Tourism']",116987.0,IRL,7,2013-01-01,3,2013-01-17,2014-06-06,1
actimis pharmaceuticals,['Biotechnology'],15600000.0,USA,CA,2001-01-15,2,2005-04-28,2008-06-06,1
actimize,['Software'],24000000.0,SGP,unknown,1999-01-01,3,2001-05-21,2004-01-14,1
actinium pharmaceuticals,['Biotechnology'],7000720.0,USA,NY,2000-01-01,2,2011-11-03,2014-01-21,1
action pharma,['Biotechnology'],12300000.0,SGP,unknown,2000-01-01,2,2006-10-27,2010-07-16,0
action plan manager a.s.,"['Application Platforms', 'Professional Services', 'Project Management']",242563.0,SVK,3,2015-03-02,1,2015-01-01,2015-01-01,0
actional garners,['Technology'],26000000.0,SGP,unknown,1997-10-19,1,2002-01-30,2002-01-30,0
action engine,['Mobile'],58200000.0,USA,WA,2000-02-01,5,2000-05-01,2007-07-01,1
actions semiconductor,"['Hardware', 'Hardware + Software', 'Semiconductors']",80000000.0,CHN,5,2001-06-05,1,2005-09-16,2005-09-16,1
activaero,['Biotechnology'],22585000.0,DEU,2,2004-01-01,2,2009-11-20,2011-02-16,1
active circle,['Software'],13360000.0,FRA,A8,2012-12-01,2,2005-11-07,2008-09-08,0
active junky,"['Comparison Shopping', 'Coupons', 'E-Commerce', 'Outdoors']",1300000.0,USA,CO,2010-01-01,1,2014-11-07,2014-11-07,1
active optical mems,"['Electronics', 'Manufacturing', 'Mechanical Solutions']",2000000.0,USA,CA,2003-04-08,1,2007-07-20,2007-07-20,0
active storage,['Enterprise Software'],16400000.0,USA,CA,2008-10-01,4,2009-11-03,2012-08-28,0
active voice corporation,['Social Media'],41358853.86867132,USA,WA,1983-01-01,1,1990-10-31,1990-10-31,1
activecloud,['Cloud Computing'],190000.0,RUS,48,2009-03-07,2,2013-06-18,2013-06-18,0
activegrid,"['Information Technology', 'SaaS', 'Visualization']",3000000.0,USA,CA,2000-08-06,1,2004-11-17,2004-11-17,0
active network,['Software'],214208700.0,USA,TX,1999-08-01,10,1999-09-01,2009-12-11,1
actividentity,['Enterprise Software'],5422959.0,USA,CA,1985-01-01,1,2009-12-29,2009-12-29,1
activiews,['Health Care'],10000000.0,ISR,4,2006-01-01,2,2007-11-13,2010-01-22,1
activiomics,"['Biotechnology', 'Health Diagnostics']",805000.0,GBR,H9,2006-12-02,1,2011-03-15,2011-03-15,1
actix,['Mobile'],21214175.002838995,GBR,H9,1981-01-01,1,2005-03-02,2005-03-02,1
actogenix,"['Biotechnology', 'Clinical Trials', 'Pharmaceuticals']",30204758.8708734,BEL,8,2002-10-28,2,2007-02-08,2007-07-14,1
acton pharmaceuticals,['Biotechnology'],36700005.0,USA,MA,2005-09-04,4,2009-12-16,2013-05-21,1
actona technologies,"['Business Services', 'Technology']",28000000.0,USA,CA,2000-01-01,3,2002-08-16,2004-03-08,1
actsocial,"['Advertising', 'Direct Marketing', 'Social CRM', 'Social Media']",2574004.0,SGP,unknown,2009-02-04,2,2010-08-25,2013-11-25,1
acucar guarani,"['Manufacturing', 'Retail']",45400000.0,BRA,27,1976-01-01,1,2009-12-11,2009-12-11,0
acuity pharmaceuticals,"['Health Care', 'Pharmaceuticals', 'Technology']",15000000.0,USA,PA,2000-06-26,1,2004-10-07,2004-10-07,1
acura pharmaceuticals,['Biotechnology'],10300000.0,USA,IL,2009-09-19,2,2013-12-31,2014-08-27,1
acusphere,"['Biotechnology', 'Pharmaceuticals']",10000000.0,USA,MA,1993-01-01,2,2011-07-07,2012-02-23,1
