name,category_list,funding_total_usd,country_code,state_code,founded_at,funding_rounds,first_funding_at,last_funding_at,status
360T,"['Finance', 'FinTech']",-,DEU,5,2000-01-01,1,2012-02-16,2012-02-16,acquired
3ClickEMR Corporation,"['Consumer Electronics', 'Electronic Health Records', 'Health Care', 'iPad', 'Software']",500000,USA,MA,2010-06-23,2,2010-06-23,2011-06-01,closed
XDN/3Crowd Technologies,['Enterprise Software'],7289000,USA,CA,2010-01-01,3,2009-12-22,2012-07-01,acquired
3D FUTURE VISION II,['Games'],503000,USA,FL,2011-01-01,2,2011-06-22,2013-03-21,closed
3D simo,,-,,,,1,2014-12-01,2014-12-01,closed
3D Systems,['Software'],169500000,USA,SC,1986-01-01,3,2014-01-15,2014-10-13,ipo
3DC,['Technology'],-,BGR,42,2009-01-01,1,2009-01-01,2009-01-01,acquired
3DDUO,"['Business Services', 'Video Games']",701760,FRA,B4,,1,2009-06-12,2009-06-12,closed
3DIVAZ,,202250.031601567,,,2014-07-01,1,2015-11-01,2015-11-01,closed
3DPhy.com,"['Creative', 'Digital Media']",204952,,,2013-11-21,1,2014-12-18,2014-12-18,closed
Nimble VR,['Software'],2249999,USA,CA,2012-01-01,2,2012-03-30,2014-04-02,acquired
3i Systems,['Semiconductors'],13708150,CHN,5,2006-11-01,3,2007-08-20,2010-03-01,closed
3Leaf,['Web Hosting'],65000000,USA,CA,2004-06-01,3,2005-01-01,2008-09-22,acquired
3LM,"['Android', 'Enterprises', 'Mobile']",1500000,,,2010-07-01,1,2010-07-01,2010-07-01,acquired
3PAR,"['Cloud Data Services', 'Services', 'Software']",148000000,USA,CA,1999-01-01,3,2000-05-01,2004-02-10,acquired
3TIER,['Clean Technology'],15000000,USA,WA,1999-01-01,3,2007-09-05,2010-02-25,acquired
3Touch,['Software'],272000,IRL,29,2003-01-01,1,2007-05-01,2007-05-01,closed
3V Transaction Services,"['Coupons', 'Online Shopping', 'Payments', 'Retail Technology']",50958896.6114209,IRL,7,2004-01-01,2,2006-10-31,2013-03-01,acquired
3ware,"['Databases', 'Electronics', 'Storage']",26000000,USA,CA,,1,2003-02-11,2003-02-11,acquired
41st Parameter,['Security'],38064570,USA,CA,2004-01-01,4,2006-05-08,2012-04-11,acquired
42Networks,['Web Hosting'],2258720,SWE,26,,1,2006-02-13,2006-02-13,acquired
42Race,"['Online Travel', 'Sports', 'Travel']",500000,,,2015-05-01,1,2015-06-01,2015-06-01,closed
4Blox,['Software'],-,USA,CA,2006-08-01,1,2007-09-10,2007-09-10,closed
4DK Technologies,['Mobile'],3378975,USA,VA,2005-01-01,1,2011-12-12,2011-12-12,acquired
4Front Security,,-,,,,1,2005-05-26,2005-05-26,closed
4Home,"['Automotive', 'Clean Energy', 'Cloud Computing', 'Internet', 'Software', 'Wireless']",9416354,USA,CA,2006-01-01,6,2006-08-01,2010-02-03,acquired
4Med Centra Medyczne,,-,,,,1,2008-01-01,2008-01-01,closed
4meee,['E-Commerce'],500000,JPN,40,,1,2014-08-13,2014-08-13,acquired
500Friends,"['E-Commerce', 'Enterprise Software', 'Loyalty Programs', 'Social Media']",12900000,USA,CA,2010-01-01,6,2009-12-15,2013-03-12,acquired
51 Auto,['Automotive'],4500000,,,,1,2008-06-01,2008-06-01,closed
51wofang 无忧我房,,5000000,,,2014-01-01,1,2015-07-06,2015-07-06,closed
56.com,['Photography'],30000000,CHN,30,2005-04-01,2,2007-06-01,2007-12-01,acquired
58.com,"['Curated Web', 'Internet', 'Software']",876780000,CHN,19,2005-01-01,6,2006-02-01,2014-06-27,ipo
59sec,"['Advertising', 'Lead Management', 'Sales and Marketing']",27428.6215837652,,,2015-08-22,1,2015-08-01,2015-08-01,closed
5BARz International,"['Mobile', 'Technology', 'Wireless']",6100000,USA,WA,2008-01-01,2,2013-11-12,2014-11-17,ipo
5by,"['Apps', 'Photography', 'Photo Sharing']",-,USA,CA,2012-01-01,1,2013-02-28,2013-02-28,acquired
5min Media,"['Education', 'Games', 'Video']",12800000,USA,NY,2007-01-01,3,2007-04-01,2009-07-23,acquired
5Rocks,['Games'],3987693,KOR,11,2013-06-18,2,2010-09-01,2013-09-03,acquired
5th Finger,['Mobile'],7000000,USA,CA,2008-01-01,1,2008-06-13,2008-06-13,acquired
5to1,"['Advertising', 'Internet', 'Internet Marketing']",17129760,USA,WA,2009-01-01,4,2009-06-17,2010-11-10,acquired
60Frames Entertainment,,3500000,USA,CA,,1,2007-08-02,2007-08-02,closed
60mo,"['Accounting', 'Business Development', 'Finance', 'Software', 'Web Development']",1300000,GBR,U8,2009-06-01,3,2009-06-29,2011-01-19,acquired
640 Labs,['Software'],3050000,USA,IL,2013-01-01,3,2014-06-20,2014-10-20,acquired
6D Global Technologies,['Services'],11052498,USA,NY,,2,2014-12-02,2015-08-20,ipo
6N Silicon,"['Concentrated Solar Power', 'Manufacturing', 'Solar']",5714285.71428571,CAN,ON,2006-01-01,1,2007-07-14,2007-07-14,acquired
6th Sense Analytics,['Software'],6700000,USA,NC,2004-01-01,2,2005-11-11,2007-01-31,acquired
6Wunderkinder / Wunderlist,"['Android', 'Apps', 'Cloud Computing', 'Collaboration', 'Email', 'Finance', 'Home & Garden', 'Internet', 'iOS', 'iPad', 'iPhone', 'Mac', 'Productivity Software', 'Software', 'Synchronization', 'Task Management', 'Web Development']",23857750,DEU,,2010-09-01,5,2010-12-21,2013-11-12,acquired
7 Billion People,"['Analytics', 'E-Commerce', 'Software']",6528902,USA,TX,2006-01-01,3,2009-02-09,2012-07-13,closed
77 Pieces,['Curated Web'],650000,NZL,G2,2010-05-25,1,2011-03-01,2011-03-01,closed
7digital,"['Content Creators', 'Content Delivery', 'Licensing', 'Music', 'Music Services', 'Technology']",20068328.451591,GBR,H9,2004-01-01,4,2005-09-01,2013-11-25,acquired
80/20 Solutions,"['Advertising', 'Email', 'Loyalty Programs', 'Mobile', 'SaaS', 'Sales and Marketing', 'Social Media', 'Software']",2100000,CAN,ON,,1,2009-08-07,2009-08-07,closed
88 Famibio,,-,,,,1,2012-07-01,2012-07-01,closed
8aweek,"['Curated Web', 'Task Management']",-,,,2008-01-01,1,2008-03-02,2008-03-02,closed
8D World,"['Games', 'Virtual Worlds']",12250000,USA,MA,,2,2008-03-01,2010-12-09,closed
8hands,"['Messaging', 'Public Relations', 'Social Media']",1500000,ISR,,,2,2008-01-01,2008-01-01,closed
8x8 Inc,"['Contact Centers', 'Telecommunications', 'Unifed Communications', 'Video Conferencing']",126000000,USA,CA,1987-01-01,1,2013-11-20,2013-11-20,ipo
909c,"['Apps', 'Publishing', 'Social Media', 'Social Media Marketing']",1292301,,,2010-01-01,1,2013-07-05,2013-07-05,closed
91 Wireless,['Mobile'],30000000,CHN,3,2010-09-01,1,2011-12-01,2011-12-01,acquired
99 Fahrenheit,['Finance'],1380700,ITA,9,2011-10-01,1,2011-10-15,2011-10-15,closed
99Bill,"['E-Commerce', 'Payments']",83574271,CHN,23,2005-01-01,5,2005-08-12,2012-12-14,acquired
99dresses,"['Fashion', 'File Sharing']",105651,AUS,2,2010-01-01,2,2012-03-30,2012-06-01,closed
99times.cn,['E-Commerce'],-,CHN,23,2005-01-01,1,2010-08-23,2010-08-23,closed
9car Technology LLC,"['Automotive', 'Cars', 'E-Commerce']",80000,CHN,22,2009-11-18,2,2009-11-18,2010-01-06,closed
9Cookies,"['Point of Sale', 'Restaurants']",-,DEU,16,2012-01-01,1,2013-04-18,2013-04-18,acquired
9facts,"['SEO', 'Social Media']",70000,RUS,71,2011-05-01,1,2011-05-01,2011-05-01,closed
9SLIDES,"['Enterprises', 'Enterprise Software', 'iPad', 'Presentations', 'SaaS', 'Training']",925000,USA,WA,2010-06-01,2,2013-05-30,2013-10-03,acquired
9th Dimension Biotech,,-,,,,1,2015-08-18,2015-08-18,closed
A Bit Lucky,"['Games', 'Social Games']",10312103,USA,CA,2009-10-01,2,2010-03-15,2011-03-25,closed
A-Life Medical,['Biotechnology'],3000000,USA,CA,,1,2009-06-03,2009-06-03,acquired
A+ Network,,-,USA,TN,1989-01-01,1,1994-04-14,1994-04-14,acquired
A-Power Energy Generation Systems,['Clean Technology'],10200000,CHN,19,2003-01-01,1,2011-01-19,2011-01-19,closed
A Smarter City,"['Networking', 'Sensors', 'Software', 'Wireless']",15000,,,2011-03-05,1,2011-03-05,2011-03-05,closed
A10 Networks,"['Cloud Computing', 'Communications Hardware', 'Hardware', 'Networking', 'Optimization', 'Security', 'SEO', 'Technology', 'Virtualization', 'Web Hosting']",118000000,USA,CA,2004-10-01,4,2005-01-01,2013-10-03,ipo
A123 Systems,"['Batteries', 'Clean Technology', 'Energy Storage', 'Mobile']",502860000,USA,MA,2001-01-01,8,2005-11-01,2012-06-07,ipo
A2B,"['Online Rental', 'Online Reservations', 'Transportation']",500000,RUS,66,,1,2013-05-13,2013-05-13,closed
A2T2,,-,,,,1,2014-01-21,2014-01-21,closed
A4Vision,['3D Technology'],-,USA,CA,,1,2005-03-08,2005-03-08,acquired
A8 Digital Music,['Music'],50000000,CHN,30,2000-01-01,2,2004-10-01,2005-12-08,ipo
AAC Technologies Holdings,['Hardware + Software'],-,CHN,2,1993-01-01,1,2004-11-10,2004-11-10,ipo
Aarden Pharmaceuticals,['Biotechnology'],500000,USA,IN,2008-01-01,1,2011-01-03,2011-01-03,closed
Aardvark,['Search'],6000000,USA,CA,2007-07-01,2,2007-01-01,2008-10-01,acquired
Aarohi communication,"['Application Platforms', 'Communications Infrastructure', 'Storage']",14000000,USA,CA,,3,2001-08-01,2003-08-29,acquired
Aastrom Biosciences,['Biotechnology'],40000000,USA,MI,1989-01-01,1,2012-03-09,2012-03-09,ipo
Abacast,['Analytics'],500000,USA,WA,2000-04-02,1,2010-11-11,2010-11-11,acquired
Tunepresto,"['Music', 'Video Editing', 'Web Development']",263400,IRL,10,2008-01-01,1,2007-01-01,2007-01-01,closed
Abattis Bioceuticals,['Biotechnology'],400988,CAN,BC,1997-09-29,3,2010-11-03,2014-04-07,ipo
Abaxia,['Software'],1770000,FRA,A8,2001-01-01,1,2005-11-08,2005-11-08,acquired
Abazab,['Curated Web'],4400000,USA,CA,1997-01-01,2,2006-05-05,2009-05-04,closed
ABB,"['Automotive', 'Clean Technology', 'Energy', 'Technology']",2700000,CHE,25,1988-01-01,1,2013-09-23,2013-09-23,ipo
AbbeyPost,"['E-Commerce', 'Fashion', 'Women']",875000,USA,CA,2014-04-01,5,2013-07-30,2014-07-11,acquired
Abbott Labs,"['Biotechnology', 'Health and Wellness', 'Medical', 'Venture Capital']",6790000,USA,IL,1991-01-01,2,2009-03-16,2011-03-15,ipo
ABC Live,['Advertising'],25000,IND,5,2007-12-05,1,2007-01-05,2007-01-05,closed
Abcellute,['Biotechnology'],805908,GBR,H9,2001-01-01,1,2007-09-21,2007-09-21,closed
AbeBooks,"['Curated Web', 'Textbooks']",-,CAN,BC,1996-01-01,1,2003-09-01,2003-09-01,acquired
Abeome Corporation,,-,,,,2,2007-06-21,2008-03-12,closed
AbiDoc,"['Doctors', 'Health Care', 'Health Diagnostics']",1833333,,,,2,2012-10-17,2014-02-04,closed
Abios Gaming,,-,,,,1,2015-02-16,2015-02-16,closed
Ablation Frontiers,"['Innovation Engineering', 'Medical', 'Medical Devices']",21800000,USA,CA,,1,2007-07-17,2007-07-17,acquired
Ablynx,['Biotechnology'],186036236,BEL,8,2001-01-01,6,2002-09-25,2014-08-13,ipo
Abound Solar,"['Clean Technology', 'Solar']",510000000,USA,CO,2007-01-01,2,2010-07-06,2010-12-15,closed
Web Reservations International,"['Curated Web', 'Web Development']",-,IRL,7,,1,2004-03-31,2004-03-31,acquired
A Break Please,,-,,,,1,2013-04-21,2013-04-21,acquired
Absolutely Training,['Education'],451198.382904996,,,,1,2005-08-12,2005-08-12,closed
Abtech Holdings,"['Engineering Firms', 'Environmental Innovation', 'Technology']",1400000,USA,AZ,1995-01-01,1,2015-05-18,2015-05-18,ipo
FashionAde.com (Abundant Closet),['E-Commerce'],60000,USA,GA,2008-01-01,1,2010-02-23,2010-02-23,closed
Abzena,['Biotechnology'],64640151.5803158,GBR,H9,2002-01-01,2,2014-07-07,2015-11-24,ipo
AbZorba Games,"['Apps', 'Games', 'Mobile', 'Social Media', 'Software']",396998,,,2012-04-27,1,2012-05-01,2012-05-01,acquired
A.C. Moore,['E-Commerce'],10000000,USA,NJ,1984-01-01,1,2009-06-05,2009-06-05,ipo
Acacia Research,"['Business Services', 'Intellectual Asset Management', 'Licensing']",255100000,USA,CA,1993-01-01,3,1999-11-22,2012-02-21,ipo
Academic Earth,"['EdTech', 'Education', 'Video']",-,USA,CA,2008-01-01,1,2008-10-01,2008-10-01,acquired
Academy Events Services,"['Events', 'Manufacturing', 'Services']",27000000,,,,1,2002-10-11,2002-10-11,closed
Academy123,['Education'],2000000,USA,CA,2004-01-01,1,2004-08-01,2004-08-01,acquired
ACADIA Pharmaceuticals,"['Biotechnology', 'Health Care']",126385000,USA,CA,,3,2003-03-31,2013-01-02,ipo
Acadient,,-,,,,1,2003-06-16,2003-06-16,closed
Accalio,,-,,,2015-01-01,1,2015-01-01,2015-01-01,closed
AcceleCare Wound Centers,"['Health Care', 'Hospitals', 'Medical']",13500000,USA,WA,,2,2007-07-03,2007-12-11,acquired
Accelera Innovations,['Health and Wellness'],200000000,USA,IL,,1,2013-10-24,2013-10-24,ipo
Accelerate Diagnostics,"['Health Care', 'Health Diagnostics', 'Medical Devices']",63016244,USA,AZ,2004-01-01,4,2010-03-23,2014-05-05,ipo
Accelerated Orthopedic Technologies,['Health Care'],150000,USA,CT,,1,2012-05-18,2012-05-18,closed
Accelerated Technologies,"['Medical', 'Medical Devices', 'Technology']",32000000,USA,NY,,1,2004-01-07,2004-01-07,closed
Accelerize New Media,['Enterprise Software'],4045500,USA,CA,2005-01-01,3,2010-05-10,2014-04-16,ipo
Acceleron Pharma,['Biotechnology'],113701127,USA,MA,2004-01-01,6,2006-08-02,2011-12-23,ipo
AccelGolf,"['Apps', 'Finance', 'Mobile', 'Sports']",457282,USA,MA,2008-08-01,7,2008-01-01,2009-12-04,closed
Accelight Networks,"['Consumer Electronics', 'Electronics', 'Manufacturing']",60000000,USA,PA,1999-01-01,1,2001-11-19,2001-11-19,closed
AccelOne,['Software'],225000,USA,WA,2013-01-01,1,2014-04-29,2014-04-29,closed
Accent Optical Technologies,"['Semiconductors', 'Technology', 'Wireless']",15900000,,,,1,2000-12-20,2000-12-20,closed
Accentia Biopharmaceuticals Inc,"['Biotechnology', 'Health and Wellness']",775000,USA,FL,2002-01-01,2,2012-02-08,2013-06-25,ipo
Accenx Technologies,['Software'],4500000,USA,CA,1997-01-01,2,2007-09-13,2009-02-27,acquired
Accept Software,"['Career Management', 'Software']",25305000,USA,CA,2002-01-01,4,2005-09-16,2010-12-14,acquired
Accertify,"['Credit Cards', 'Fraud Detection', 'Security']",7131124,USA,IL,2007-03-01,3,2008-06-03,2010-05-04,acquired
Access Closure,['Health Care'],13793098,USA,CA,2002-01-01,3,2010-03-03,2012-10-01,acquired
Access Northeast,"['Cloud Computing', 'Data Centers', 'Networking', 'Services', 'Software', 'Web Hosting']",1999998,USA,MA,1999-01-01,1,2009-11-23,2009-11-23,acquired
Access Pharmaceuticals,['Biotechnology'],15581502,USA,TX,,2,2011-11-14,2012-11-06,closed
Access Scientific,['Health Care'],21376001,USA,CA,2004-01-01,6,2009-10-06,2012-06-21,acquired
Inherited Health,['Health and Wellness'],1155000,USA,CA,2007-11-01,2,2008-01-01,2009-08-01,acquired
Acclaim Games,['Games'],-,USA,CA,1997-12-24,1,2007-10-18,2007-10-18,acquired
Acclarent,"['Biotechnology', 'Medical']",35000000,USA,CA,2004-06-01,1,2007-04-23,2007-04-23,acquired
Acclaris Holdings,"['Development Platforms', 'Health Care', 'Software']",5000000,USA,FL,2010-01-01,1,2004-07-21,2004-07-21,acquired
Acco Brands,['Hardware + Software'],10000000,USA,IL,1947-01-01,1,2007-02-01,2007-02-01,ipo
Accord,['Real Estate'],-,USA,CA,2013-01-01,1,2014-05-12,2014-05-12,closed
Accordent Technologies,['Consulting'],4000000,USA,CA,,1,2006-03-29,2006-03-29,acquired
Accordion Health,"['Big Data Analytics', 'Health Care Information Technology', 'SaaS']",150000,USA,TX,2014-05-14,1,2014-07-02,2014-07-02,closed
Accrue Search Concepts dba Boounce,"['Search', 'Software', 'Vertical Search']",200000,,,2010-05-20,1,2010-05-20,2010-05-20,closed
Accumedia,['Software'],2000000,,,,1,2002-02-27,2002-02-27,closed
Accumetrics,['Biotechnology'],110640466,USA,CA,1996-01-01,9,2003-05-16,2013-08-30,acquired
Accupost Corporation,['Software'],-,USA,CO,,1,2002-08-01,2002-08-01,acquired
Accuvant,['Security'],8198838,USA,CO,2002-01-01,4,2008-07-01,2014-10-17,acquired
ACE Consensus,,-,,,,1,2013-07-09,2013-07-09,closed
AcelRx Pharmaceuticals,"['Biotechnology', 'Health Care']",93654902,USA,CA,,5,2009-11-23,2013-12-19,ipo
Acendi Interactive,['Security'],2090000,USA,CA,,1,2009-01-09,2009-01-09,closed
Aceris 3D Inspection,['Semiconductors'],4880000,CAN,QC,2000-01-01,1,2007-05-30,2007-05-30,closed
Acerta Pharma,['Biotechnology'],-,USA,CA,,1,2013-03-14,2013-03-14,closed
Aceva Technologies,['Enterprise Software'],5280000,USA,CA,1999-01-01,1,2005-07-21,2005-07-21,acquired
Achaogen,"['Biotechnology', 'Health Care']",116605707,USA,CA,2004-01-01,4,2004-08-01,2013-03-22,ipo
Acheive CCA,['Finance'],5000000,USA,IN,,1,2009-02-17,2009-02-17,closed
Achiever,"['Self Development', 'Social Network Media']",120000,,,2013-12-11,1,2013-12-20,2013-12-20,closed
Achievers,"['Employer Benefits Programs', 'Incentives', 'Services', 'Software']",52422326,USA,CA,1995-01-01,5,2007-11-29,2011-09-28,acquired
Achillion Pharmaceuticals,"['Biotechnology', 'Health Care']",91100000,USA,CT,1998-01-01,2,2002-01-28,2010-08-18,ipo
Aciex Therapeutics,['Biotechnology'],9599860,USA,MA,,3,2007-09-01,2014-04-24,acquired
Blackwave,"['Social Media', 'Storage', 'Video Streaming', 'Web Hosting']",28000000,USA,MA,2006-01-01,3,2006-12-01,2009-09-30,acquired
Acirro,['Software'],9500000,USA,CA,,1,2001-06-01,2001-06-01,acquired
Acision,['Mobile'],100000000,IND,10,1992-01-01,1,2010-10-05,2010-10-05,acquired
Aclaris Therapeutics,['Biotechnology'],82000000,USA,PA,,3,2012-10-24,2015-09-09,ipo
Acme Packet,"['Telecommunications', 'Web Hosting']",38247779,USA,MA,,2,2001-10-08,2009-05-14,acquired
Acompli,"['Android', 'Consumer Internet', 'Email', 'Enterprise Software', 'iOS', 'Mobile', 'Mobile Security', 'SaaS']",7300000,USA,CA,2013-06-01,1,2013-06-04,2013-06-04,acquired
Acopia Networks,['Software'],75000000,USA,MA,2002-01-01,3,2003-05-21,2006-06-19,acquired
Acorda Therapeutics,"['Biotechnology', 'Health Care']",76800000,USA,NY,,3,2003-05-20,2006-11-29,ipo
Acorn International,['Advertising'],43000000,CHN,23,,2,2006-01-01,2007-04-01,ipo
Acoustic Technologies,['Software'],7974296,USA,TX,1998-01-01,1,2013-04-12,2013-04-12,acquired
Acquaintable,['Curated Web'],40000,USA,NY,2012-01-01,1,2013-01-07,2013-01-07,acquired
ACS Global,['Biotechnology'],3162000,USA,NJ,,2,2011-04-28,2011-07-01,ipo
Acta technology,"['Data Integration', 'Enterprises', 'Real Time']",25000000,USA,CA,,1,2001-08-08,2001-08-08,acquired
Actacell,"['Batteries', 'Clean Technology', 'Search']",9800000,USA,TX,,3,2008-07-22,2010-12-29,acquired
Actcat,['SaaS'],-,JPN,40,2012-05-10,3,2012-09-12,2014-10-31,closed
Acteavo,"['B2B', 'Leisure', 'Travel & Tourism']",116987,IRL,7,2013-01-01,3,2013-01-17,2014-06-06,acquired
Actimis Pharmaceuticals,['Biotechnology'],15600000,USA,CA,,2,2005-04-28,2008-06-06,acquired
Actimize,['Software'],24000000,,,1999-01-01,3,2001-05-21,2004-01-14,acquired
Actinium Pharmaceuticals,['Biotechnology'],7000720,USA,NY,2000-01-01,2,2011-11-03,2014-01-21,ipo
Action Pharma,['Biotechnology'],12300000,,,2000-01-01,2,2006-10-27,2010-07-16,closed
Action Plan Manager a.s.,"['Application Platforms', 'Professional Services', 'Project Management']",242563,SVK,3,2015-03-02,1,2015-01-01,2015-01-01,closed
Action Square,,-,,,,1,2013-07-24,2013-07-24,closed
Actional Garners,['Technology'],26000000,,,,1,2002-01-30,2002-01-30,closed
Action Engine,['Mobile'],58200000,USA,WA,2000-02-01,5,2000-05-01,2007-07-01,acquired
Actions Semiconductor,"['Hardware', 'Hardware + Software', 'Semiconductors']",80000000,CHN,5,,1,2005-09-16,2005-09-16,ipo
Activaero,['Biotechnology'],22585000,DEU,2,2004-01-01,2,2009-11-20,2011-02-16,acquired
Active Circle,['Software'],13360000,FRA,A8,2012-12-01,2,2005-11-07,2008-09-08,closed
Active Junky,"['Comparison Shopping', 'Coupons', 'E-Commerce', 'Outdoors']",1300000,USA,CO,2010-01-01,1,2014-11-07,2014-11-07,acquired
Active Optical MEMS,"['Electronics', 'Manufacturing', 'Mechanical Solutions']",2000000,USA,CA,,1,2007-07-20,2007-07-20,closed
Active Storage,['Enterprise Software'],16400000,USA,CA,2008-10-01,4,2009-11-03,2012-08-28,closed
Active Voice Corporation,['Social Media'],-,USA,WA,1983-01-01,1,1990-10-31,1990-10-31,acquired
ActiveCloud,['Cloud Computing'],190000,RUS,48,,2,2013-06-18,2013-06-18,closed
ActiveGrid,"['Information Technology', 'SaaS', 'Visualization']",3000000,USA,CA,,1,2004-11-17,2004-11-17,closed
ACTIVE Network,['Software'],214208700,USA,TX,1999-08-01,10,1999-09-01,2009-12-11,acquired
ActiveUSA.com,,15500000,,,,1,1999-12-22,1999-12-22,closed
ActivIdentity,['Enterprise Software'],5422959,USA,CA,1985-01-01,1,2009-12-29,2009-12-29,acquired
ActiViews,['Health Care'],10000000,ISR,4,2006-01-01,2,2007-11-13,2010-01-22,acquired
Activiomics,"['Biotechnology', 'Health Diagnostics']",805000,GBR,H9,,1,2011-03-15,2011-03-15,acquired
Actix,['Mobile'],-,GBR,H9,1981-01-01,1,2005-03-02,2005-03-02,acquired
